Submission id,Participant id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Fluent languages,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
64448358fa2b298003ad2330,615a3aff99c738f7dd86fded,APPROVED,2023-04-23T01:01:39.760000Z,2023-04-23T01:08:58.234000Z,2023-04-23T01:08:58.719000,2023-04-23T01:08:58.642713Z,439,CTR530VA,682,English,41,Female,Mixed,United States,United States,United States,English,No,Part-Time
644483650a399c6eae813537,64136140e1cce438bf993257,APPROVED,2023-04-23T01:01:31.131000Z,2023-04-23T01:06:14.032000Z,2023-04-23T01:06:14.705000,2023-04-23T01:06:14.631907Z,283,CTR530VA,218,English,33,Male,White,United States,United States,United States,English,No,Full-Time
64448368fdb380be9fc23ae7,6139aed4f23d087290d96200,APPROVED,2023-04-23T01:01:59.160000Z,2023-04-23T01:16:54.703000Z,2023-04-23T01:16:55.200000,2023-04-23T01:16:55.143044Z,896,CTR530VA,1469,English,28,Female,Black,United States,United States,United States,English,No,Unemployed (and job seeking)
64448381dee2d49b67b7187b,5e5214e745774623bd28289f,APPROVED,2023-04-23T01:01:56.623000Z,2023-04-23T01:14:19.349000Z,2023-04-23T01:14:19.747000,2023-04-23T01:14:19.693339Z,743,CTR530VA,3283,English,25,Male,Mixed,Philippines,United States,United States,English,Yes,Full-Time
6444838d0a399c6eae813547,604682ba80d421045184668a,APPROVED,2023-04-23T01:02:08.610000Z,2023-04-23T01:09:07.647000Z,2023-04-23T01:09:08.056000,2023-04-23T01:09:07.999984Z,420,CTR530VA,1404,English,51,Female,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
6444838f2408a89d4e0aa2cd,599eccaa4d25e800012fc97d,APPROVED,2023-04-23T01:02:11.868000Z,2023-04-23T01:14:46.962000Z,2023-04-23T01:14:47.506000,2023-04-23T01:14:47.448622Z,756,CTR530VA,31,English,34,Male,White,United States,United States,United States,English,Yes,DATA_EXPIRED
64448393fa2b298003ad2333,63ea5b522989d24b3a9b80d9,APPROVED,2023-04-23T01:02:15.393000Z,2023-04-23T01:08:39.607000Z,2023-04-23T01:08:39.989000,2023-04-23T01:08:39.935267Z,385,CTR530VA,458,English,41,Male,White,United States,United States,United States,English,No,Full-Time
6444839823ad43ff6417dad7,5e52d0122f5f952f2a7b6b28,APPROVED,2023-04-23T01:02:16.819000Z,2023-04-23T01:05:52.682000Z,2023-04-23T01:05:53.531000,2023-04-23T01:05:53.463033Z,216,CTR530VA,3611,English,38,Male,Mixed,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
644483a0f19d88a7e512589e,61099a5c04f32c99f34ce2a8,APPROVED,2023-04-23T01:02:29.160000Z,2023-04-23T01:09:52.357000Z,2023-04-23T01:09:52.726000,2023-04-23T01:09:52.673867Z,444,CTR530VA,2591,"English, French",66,Female,White,United States,United States,United States,English,No,Full-Time
644483a2d9336824c40e465e,5f084fffd931c103fbd4228a,APPROVED,2023-04-23T01:02:29.319000Z,2023-04-23T01:06:56.833000Z,2023-04-23T01:06:57.301000,2023-04-23T01:06:57.238149Z,268,CTR530VA,1262,"English, Swedish",23,Male,White,United States,United States,United States,English,Yes,Unemployed (and job seeking)
644483a9b464d053291943fb,558ed072fdf99b3a6486371d,APPROVED,2023-04-23T01:02:37.117000Z,2023-04-23T01:08:13.709000Z,2023-04-23T01:08:14.120000,2023-04-23T01:08:14.060890Z,337,CTR530VA,1648,English,56,Female,White,United States,United States,United States,English,No,Full-Time
644483b9ac86c451aad504f7,5924f4910a3e3e0001f1018e,APPROVED,2023-04-23T01:02:57.914000Z,2023-04-23T01:09:14.968000Z,2023-04-23T01:09:15.423000,2023-04-23T01:09:15.367908Z,378,CTR530VA,2374,"English, Chinese",46,Male,Asian,United States,United States,United States,English,No,Part-Time
644483c793d36996a9813544,5b667e3fdc84c6000173edc2,APPROVED,2023-04-23T01:03:03.472000Z,2023-04-23T01:33:49.307000Z,2023-04-23T01:33:49.908000,2023-04-23T01:33:49.851904Z,1846,CTR530VA,2874,English,35,Female,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
644483cc6cf0c8ae25b0b90c,611276cd39c2179c678fca78,APPROVED,2023-04-23T01:03:11.314000Z,2023-04-23T01:23:24.576000Z,2023-04-23T01:23:25.042000,2023-04-23T01:23:24.989368Z,1214,CTR530VA,371,"English, Spanish",26,Female,Other,United States,United States,United States,Spanish,Yes,Full-Time
644483d26f036675a07dcbab,63b74e93984caaa40cc51dce,APPROVED,2023-04-23T01:03:25.488000Z,2023-04-23T01:10:48.749000Z,2023-04-23T01:10:49.287000,2023-04-23T01:10:49.210057Z,444,CTR530VA,42,English,49,Female,Black,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
644483db093b157a38e593b1,6168a6cdc303371392b9d9c8,APPROVED,2023-04-23T01:03:25.805000Z,2023-04-23T01:07:43.290000Z,2023-04-23T01:07:43.756000,2023-04-23T01:07:43.682577Z,258,CTR530VA,2910,English,24,Male,White,United States,United States,United States,English,No,Full-Time
644483e0c20424d57b368a6a,6294fc5023a8698296cbf7b0,APPROVED,2023-04-23T01:03:30.849000Z,2023-04-23T01:09:09.829000Z,2023-04-23T01:09:10.231000Z,2023-04-23T01:09:11.490946Z,339,CTR530VA,2197,"English, Chinese",22,Male,Asian,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
644483e1f99f9a83a796e2e2,5f4f12010c816616c12ab29d,APPROVED,2023-04-23T01:03:31.715000Z,2023-04-23T01:14:05.650000Z,2023-04-23T01:14:06.072000,2023-04-23T01:14:06.015398Z,634,CTR530VA,3820,English,31,Male,White,United States,United States,United States,English,No,Full-Time
644483e90670615b221782b9,5f356e8b725d18529807d33c,APPROVED,2023-04-23T01:03:40.403000Z,2023-04-23T01:10:22.655000Z,2023-04-23T01:10:23.179000,2023-04-23T01:10:23.111723Z,403,CTR530VA,1041,English,39,Female,White,United States,United States,United States,English,No,DATA_EXPIRED
644483ec8fbcf33f1a0ca41e,60b5eb1928615e5bbdde73c2,APPROVED,2023-04-23T01:03:44.774000Z,2023-04-23T01:14:52.606000Z,2023-04-23T01:14:53.058000,2023-04-23T01:14:52.997294Z,668,CTR530VA,201,English,22,Female,Mixed,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
64448402d9336824c40e466c,614e149fccc6a53ae06dfcd2,APPROVED,2023-04-23T01:04:15.157000Z,2023-04-23T01:11:57.736000Z,2023-04-23T01:11:58.227000,2023-04-23T01:11:58.151945Z,463,CTR530VA,2731,English,58,Female,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
